RLOI_ID|Value|Units|Location (Longtitude| Latitude)|ThresholdComment|Short Name|Description|Type|ObsFloodYear|ObsFloodMonth|Source
5172|2.6|mALD|-2.913719|54.889857|Soffit of Footbridge. Flooding of Melbourne Park|Flooding to Melbourne Park|Flooding to Melbourne Park|Location Impact|||Flood Resiliance
5214|3.1|mALD|-2.909403|54.894429|Road level at Botcherby Bridge|Flooding at Botcherby Bridge|Flooding to road level at Botcherby Bridge|Road Impact|||Flood Resiliance
5214|2.8|mALD|-2.912729|54.89647|Carlisle United FC gate sill level|Flooding at Carlisle United FC|Flooding to floodgate sill level at Carlisle United football club|Road Impact|||Flood Resiliance
5214|2.7|mALD|-2.91703|54.898193|St Aidans Road gate sill level|Defence at St Aidans Road|Flooding to floodgate sill level at St Aidans Road|Defence Impact|||Flood Resiliance
5214|2.85|mALD|-2.910154|54.894891|Thirlwell Avenue and Gardens Floodgate Sill Level|Flooding at Thirlwell Avenue|Flooding to Thirlwell Avenue|Location Impact|||Flood Resiliance
5214|2.85|mALD|-2.910154|54.894891|Thirlwell Avenue and Gardens Floodgate Sill Level|Defence at Thirlwell Gardens|Flooding at Thirlwell Gardens|Defence Impact|||Flood Resiliance
5159|1.8|mALD|-2.915767|54.882141|Petteril out of bank|Flooding of River Petteril |Flooding of River Petteril |Defence Impact|||Flood Resiliance
5173|4.7|mALD|-2.789864|53.992073|Skew Bridge Floodgate Sill Level|Flooding at Skew Bridge|Flooding at Skew Bridge sill level if floodgate isn't closed |Location Impact|||Flood Resiliance
5173|4.6|mALD|-2.789864|53.992073|Skew Bridge Soffit|Flooding at Skew Bridge|Flooding up to Skew Bridge soffit if floodgate isn't closed|Location Impact|||Flood Resiliance
5042|4.564|mALD|-2.937616|54.887296|Flood level on footpath at Maryport Cottages|Flooding to footpath|Flooding to footpath|Location Impact|2012|June|Flood Resiliance
5042|3.9|mALD|-2.945196|54.880478|Holme Head Weir gate sill level|Defence at Holme Head weir|Flooding to gate sill level at Holme Head weir|Defence Impact|||Flood Resiliance
5042|4.3|mALD|-2.940035|54.893244|Flood water may start coming up WCML into the West Walls car park|Flooding at West Walls car park|Flooding to West Walls car park|Location Impact|||Flood Resiliance
5127|4.95|mALD|-2.969551|54.901041|Overtopping of Stainton embankment|Defence at Stainton embankment|Flooding at Stainton embankment|Defence Impact|||Flood Resiliance
2097|0.5|mALD|-1.714234|53.374787|Ladybower reservoir full to capacity and spilling or Severn Trent Water drawdown in progress|Defence at Ladybower reservoir|Flooding at Ladybower reservoir|Defence Impact|||Flood Resiliance
2102|4.2|mALD|-0.987569|52.985375|Gunthorpe to East Bridgford and Hoveringham to Caythorpe impassable to traffic.|Flooding between Gunthorpe and East Briidgford|Flooding on roads between Gunthorpe and East Briidgford|Road Impact|||Flood Resiliance
2102|4.2|mALD|-0.957287|53.007553|Gunthorpe to East Bridgford and Hoveringham to Caythorpe impassable to traffic.|Flooding between Hoveringham and Caythorpe|Flooding on roads between Hoveringham and Caythorpe|Road Impact|||Flood Resiliance
2102|4.4|mALD|-0.987291|52.987198|Gunthorpe to Shelford Road may be impassible. River levels at Fiskerton may overtop sheet piled walls|Flooding to Shelford Road|Flooding on Shelford Road|Road Impact|||Flood Resiliance
2102|4.4|mALD|-0.903446|53.05173|Gunthorpe to Shelford Road may be impassible. River levels at Fiskerton may overtop sheet piled walls|Flooding at Fiskerton|Flooding at Fiskerton on the sheet plied walls|Location Impact|||Flood Resiliance
2102|4.6|mALD|-0.987548|52.988025|A60097 Gunthorpe to Lowdham road may be flooded to limited extent and Fiskerton to Rolleston road affected by River Greet.|Flooding on A6097|Flooding on A6097 Gunthorpe to Lowdham Road|Road Impact|||Flood Resiliance
2102|4.6|mALD|-0.89465|53.055213|A60097 Gunthorpe to Lowdham road may be flooded to limited extent and Fiskerton to Rolleston road affected by River Greet.|Flooding between Fiskerton and Rolleston|Flooding on Fiskerton to Rolleston Road|Road Impact|||Flood Resiliance
2102|5.2|mALD|-0.779633|53.282763|Laneham Barriers|Defence at Laneham|Laneham barriers are deployed|Defence Impact|||Flood Resiliance
2102|5.8|mALD|-1.081029|52.95086|Flood Defences at risk of overtopping Nottingham Left Bank. Note: Prolonged overtopping could result in flooding to all Nottingham Left Bank Communites if there is prolonged overtopping of defences.|Defence at Nottingham|Flood defences at risk of overflowing Nottingham Left Bank|Defence Impact|||Flood Resiliance
2103|4.3|mALD|-1.558579|53.121936|Flooding may start to affect some low lying areas in Matlock Bath area around the Midland Hotel|Flooding at Matlock Bath|Flooding may affect low lying areas in Matlock Bath|Location Impact|||Flood Resiliance
2103|4.6|mALD|-1.469435|52.971034|Flood defences may overtop at Little Eaton.|Defence at Little Eaton|Flood defences may overflow at Little Eaton|Defence Impact|||Flood Resiliance
2106|2.86|mALD|-1.014602|53.428318|NEW JBA Threshold. Defences at risk of overtopping between Bawtry and West Stockwith Pumping Station.|Defence at Bawtry and West Stockwith|Flood defences at risk of overflowing between Bawtry and West Stockwith Pumping Station.|Defence Impact|||Flood Resiliance
2106|2.7|mALD|-1.014971|53.426787|A631 and roads in the Bawtry viaduct area|Flooding on A631|Flooding on the A631 |Road Impact|||Flood Resiliance
2106|2.7|mALD|-1.014971|53.426787|A631 and roads in the Bawtry viaduct area|Flooding at Bawtry viaduct|Flooding on roads in the Bawtry viaduct area|Road Impact|||Flood Resiliance
2109|3.9|mALD|-0.762868|53.145973|Property at Low Street at Collingham, Girton, Marnham, Dunham and Laneham may be affected.|Property flooding Low Street|Flooding to properties on Low Street, Collingham|Property Impact|||Flood Resiliance
2109|3.9|mALD|-0.76334|53.185364|Property at Low Street at Collingham, Girton, Marnham, Dunham and Laneham may be affected.|Property flooding Girton|Flooding to properties in Girton|Property Impact|||Flood Resiliance
2109|3.9|mALD|-0.779186|53.215278|Property at Low Street at Collingham, Girton, Marnham, Dunham and Laneham may be affected.|Property flooding Marnham|Flooding to properties in Marnham|Property Impact|||Flood Resiliance
2109|3.9|mALD|-0.774539|53.261853|Property at Low Street at Collingham, Girton, Marnham, Dunham and Laneham may be affected.|Property flooding Dunham|Flooding to properties in Dunham|Property Impact|||Flood Resiliance
2109|3.9|mALD|-0.791093|53.279608|Property at Low Street at Collingham, Girton, Marnham, Dunham and Laneham may be affected.|Property flooding Laneham|Flooding to properties in Laneham|Property Impact|||Flood Resiliance
2230|3.65|mALD|-1.692095|53.338998|Calver Caravan site and Mytham Bridge at risk|Property flooding Mytham Bridge|Flooding to property at Mytham Bridge|Property Impact|||Flood Resiliance
2230|3.94|mALD|-1.692095|53.338998|Flooding of low lying properties at Mytham Bridge|Property flooding Mytham Bridge|Flooding to low lying properties at Mytham Bridge|Property Impact|||Flood Resiliance
2230|4.1|mALD|-1.658791|53.328849|Flooding of properties at Hathersage (Lead Mill Bridge)|Property flooding Hathersage|Flooding to properties at Lead Mill Bridge, Hathersage|Property Impact|||Flood Resiliance
2125|1.25|mALD|-1.185182|52.671568|Midland COOP Society Stores, Anstey and Glenfield car park affected.|Flooding at Anstey|Flooding to commercial property at Anstey|Property Impact|||Flood Resiliance
2125|1.25|mALD|-1.205498|52.651979||Flooding at Glenfield car park|Flooding to Glenfield car park|Location Impact|||Flood Resiliance
2128|7.69|mAOD|-0.795049|53.184202|Property at Suttonon Trent, Marnham, Clifton, Dunham and Laneham, Laneham DB and Cottam power station, design flood overspill at Cottam.|Property flooding Sutton on Trent|Flooding to property at Sutton on Trent|Property Impact|||Flood Resiliance
2128|7.69|mAOD|-0.784017|53.223921|Property at Suttonon Trent, Marnham, Clifton, Dunham and Laneham, Laneham DB and Cottam power station, design flood overspill at Cottam.|Property flooding Marnham|Flooding to property at Marnham|Property Impact|||Flood Resiliance
2128|7.69|mAOD|-1.193813|52.911125|Property at Suttonon Trent, Marnham, Clifton, Dunham and Laneham, Laneham DB and Cottam power station, design flood overspill at Cottam.|Property flooding Clifton|Flooding to property at Clifton|Property Impact|||Flood Resiliance
2128|7.69|mAOD|-0.774539|53.261853|Property at Suttonon Trent, Marnham, Clifton, Dunham and Laneham, Laneham DB and Cottam power station, design flood overspill at Cottam.|Property flooding Dunham|Flooding to property at Dunham|Property Impact|||Flood Resiliance
2128|7.69|mAOD|-0.791093|53.279608|Property at Suttonon Trent, Marnham, Clifton, Dunham and Laneham, Laneham DB and Cottam power station, design flood overspill at Cottam.|Property flooding Laneham|Flooding to property at Laneham|Property Impact|||Flood Resiliance
2128|7.69|mAOD|-0.78443|53.30885|Property at Suttonon Trent, Marnham, Clifton, Dunham and Laneham, Laneham DB and Cottam power station, design flood overspill at Cottam.|Flooding at Cottam power station|Flooding at Cottam power station|Location Impact|||Flood Resiliance
2128|7.69|mAOD|-0.756123|53.31288|Property at Suttonon Trent, Marnham, Clifton, Dunham and Laneham, Laneham DB and Cottam power station, design flood overspill at Cottam.|Defence at Cottam|Flood defences over flow at Cottam|Defence Impact|||Flood Resiliance
2138|3.3|mALD|-1.479116|52.924565|Derby City Defences may overtop at Derby d/s of Derby St Mary’s|Defence at Derby St Mary's|Flood defences overtop at Derby St Mary's|Defence Impact|||Flood Resiliance
2138|3.7|mALD|-1.475718|52.941924|Defences at Darley Abbey start to overtop|Defence at Darley Abbey|Flood defences overflow at Darley Abbey Street|Defence Impact|||Flood Resiliance
2138|3.87|mALD|-1.476573|52.930763|City defences at Little Chester, Pride Park and Alvaston start to overtop.|Defence at Little Chester|Flood defences overflow at Little Chester|Defence Impact|||Flood Resiliance
2138|3.87|mALD|-1.443778|52.916858|City defences at Little Chester, Pride Park and Alvaston start to overtop.|Defence at Pride Park|Flood defences overflow at Pride Park|Defence Impact|||Flood Resiliance
2138|3.87|mALD|-1.433713|52.904641|City defences at Little Chester, Pride Park and Alvaston start to overtop.|Defence at Alvaston|Flood defences overflow at Alvaston|Defence Impact|||Flood Resiliance
2156|1.3|mALD|-0.946942|53.317981|Between Albert rd & Railway starts to flood|Flooding at Albert Road|Flooding between railway and Albert Road|Location Impact|||Flood Resiliance
2156|1.4|mALD|-0.942822|53.308725|Properties on High Street at Ordsall|Property flooding Ordsall|Flooding to properties on High Street at Ordsall|Property Impact|||Flood Resiliance
2163|2|mALD|-1.190875|52.989087|Severe flooding at Old Basford and Bulwell on the River Leen|Flooding between Old Basford and Bulwell|Flooding at Old Basford and Bulwell|Location Impact|||Flood Resiliance
3260|3.19|mALD|-3.503911|50.812608|Up Exe Mill flooded, 6x properties in Bickleigh|Flooding at Upexe|Flooding to properties in Upexe|Location Impact|2000|October|Flood Resiliance
3260|3.19|mALD|-3.50632|50.856503|Up Exe Mill flooded, 6x properties in Bickleigh|Property flooding Bickleigh|Flooding to properties in Bickleigh|Property Impact|2000|October|Flood Resiliance
3260|3.258|mALD|-3.503911|50.812608|Significant flooding at Up Exe|Flooding at Upexe|Flooding in Upexe|Location Impact|2012|December|Flood Resiliance
3259|3.725|mALD|-3.386415|50.861807|Alexandria Industrial Estate 30 commercial units upto 1m deep|Flooding at Alexandria Industrial Estate|Flooding to commercial properties at Alexandria Industrial Estate|Property Impact|2012|November|Flood Resiliance
3259|2.4|mALD|-3.430855|50.810131|Impending railway flooding at Hele and Bradninch Level Crossing|Flooding at Hele|Flooding of the railway at Hele|Rail Impact|||Flood Resiliance
3259|2.4|mALD|-3.416255|50.816356|Impending railway flooding at Hele and Bradninch Level Crossing|Flooding at Bradnich|Flooding at Bradninch level crossing|Rail Impact|||Flood Resiliance
3259|4.2|mALD|-3.392736|50.846789|Defence Level. 100+ properties likely to be affected. Critical infrastructure includes school and the main rail line.|Flooding to property|Flooding to properties|Property Impact|||Flood Resiliance
3259|4.2|mALD|-3.392736|50.846789|Defence Level. 100+ properties likely to be affected. Critical infrastructure includes school and the main rail line.|Flooding to critical infrastructure|Flooding of critical infrastructure, including schools and mainline railway|Property Impact|||Flood Resiliance
3258|3.749|mALD|-3.522041|50.930166|Flooding at Washfield, Bolham, Morrisons Petrol Station|Flooding at Washfield|Flooding at Washfield|Location Impact|2000|October|Flood Resiliance
3258|3.749|mALD|-3.497225|50.923627|Flooding at Washfield, Bolham, Morrisons Petrol Station|Flooding at Bolham|Flooding at Bolham|Location Impact|2000|October|Flood Resiliance
3258|3.749|mALD|-3.497225|50.923627|Flooding at Washfield, Bolham, Morrisons Petrol Station|Flooding to petrol station|Flooding at petrol station|Property Impact|2000|October|Flood Resiliance
3258|3.85|mALD|-3.53131|51.010476|Exebridge 13x residential 2x commercial, Cove 3x, Bolham 3x, Oakford Bridge 10x, Washfield 1x, Tiverton Industrial Estate and Caravan Park x 20|Property flooding Exebridge|Flooding to residential and business properties in Exebridge|Property Impact|2012|December|Flood Resiliance
3258|3.85|mALD|-3.495534|50.965435|Exebridge 13x residential 2x commercial, Cove 3x, Bolham 3x, Oakford Bridge 10x, Washfield 1x, Tiverton Industrial Estate and Caravan Park x 20|Property flooding Cove|Flooding to residential and business properties at Cove|Property Impact|2012|December|Flood Resiliance
3258|3.85|mALD|-3.497225|50.923627|Exebridge 13x residential 2x commercial, Cove 3x, Bolham 3x, Oakford Bridge 10x, Washfield 1x, Tiverton Industrial Estate and Caravan Park x 20|Property flooding Bolham|Flooding to residential and business properties at Bolham|Property Impact|2012|December|Flood Resiliance
3258|3.85|mALD|-3.545849|50.983202|Exebridge 13x residential 2x commercial, Cove 3x, Bolham 3x, Oakford Bridge 10x, Washfield 1x, Tiverton Industrial Estate and Caravan Park x 20|Property flooding Oakford Bridge|Flooding to residential and business properties at Oakford Bridge|Property Impact|2012|December|Flood Resiliance
3258|3.85|mALD|-3.522041|50.930166|Exebridge 13x residential 2x commercial, Cove 3x, Bolham 3x, Oakford Bridge 10x, Washfield 1x, Tiverton Industrial Estate and Caravan Park x 20|Property flooding Washfield|Flooding to residential and business properties at Washfield|Property Impact|2012|December|Flood Resiliance
3258|3.85|mALD|-3.495927|50.896105|Exebridge 13x residential 2x commercial, Cove 3x, Bolham 3x, Oakford Bridge 10x, Washfield 1x, Tiverton Industrial Estate and Caravan Park x 20|Flooding at Tiverton Industrial Estate|Flooding at Tiverton Industrial Estate|Property Impact|2012|December|Flood Resiliance
3258|4|mALD|-3.493311|50.90939|Tiverton Defence Level. Flooding likely to be threatening Tiverton Hospital. 100+ properties likely to be affected|Flooding to critical infrastructure|Flooding of critical infrastructure, including Tiverton Hospital|Property Impact|||Flood Resiliance
3256|2.26|mALD|-3.641132|51.133847|Defences at Exford overtopped. 2x properties flooded in Bridgetown|Defence at Exford|Overflowing of Exford flood defences|Defence Impact|2000|October|Flood Resiliance
3256|2.26|mALD|-3.537924|51.082276|Defences at Exford overtopped. 2x properties flooded in Bridgetown|Property at Bridgetown|Flooding to property at Bridgetown|Property Impact|2000|October|Flood Resiliance
3254|2.024|mALD|-3.537924|51.082276|Old Chapel, Bridgetown recorded as flooding.|Flooding at Bridgetown|Flooding at Bridgetown|Location Impact|2000|October|Flood Resiliance
3251|4.35|mALD|-3.543582|50.732638|Cowley Bridge Railway Flooded, Major washout of ballast|Flooding on railway line at Cowley Bridge|Ballast washed out at Cowley Bridge|Rail Impact|||Flood Resiliance
3251|4.35|mALD|-3.543582|50.732638|Cowley Bridge Railway Flooded, Major washout of ballast|Flooding on railway line at Cowley Bridge|Flooding of railway at Cowley Bridge|Rail Impact|||Flood Resiliance
3251|4.46|mALD|-3.543582|50.732638|Cowley Bridge flooded and isolated vulnerable properites in Exeter|Flooding at Cowley Bridge|Flooding at Cowley Bridge|Location Impact|2012|November|Flood Resiliance
3251|4.46|mALD|-3.537162|50.718008|Cowley Bridge flooded and isolated vulnerable properites in Exeter|Property flooding Exeter|Flooding to properties in Exeter|Property Impact|2012|November|Flood Resiliance
3250|2.73|mALD|-3.435304|50.732523|Past event: Flooding at Clyst Honiton (no properties effected) pub car park and SWW site.|Flooding at Clyst Honiton|Flooding at Clyst Honiton|Property Impact|2008|October|Flood Resiliance
3250|2.83|mALD|-3.45741|50.708701|Past event: Clyst St Mary defences were 300mm from overtopping. No property flooding recorded.|Defence at Clyst St Mary's|Clyst St Mary's flood defences 300mm from overflowing|Defence Impact|2012|November|Flood Resiliance
3347|2.173|mALD|-3.45741|50.708701|Flood defence 50mm freeboard. 4 properties flooded, drainage systems backing up.|Defence at Clyst St Mary's|Clyst St Mary's flood defences 50mm from overflowing|Defence Impact|2012|November|Flood Resiliance
3246|3.087|mALD|-3.50632|50.856503|Bickleigh - 4x properties flooded|Property flooding Bickleigh|Flooding to properties in Bickleigh|Property Impact|1999|January|Flood Resiliance
3246|3.58|mALD|-3.503911|50.812608|Tiverton Industrial Estate and Caravan Park x 20 properties, Up Exe significant flood depths|Flooding at Upexe|Flooding in Upexe|Location Impact|||Flood Resiliance
3246|3.58|mALD|-3.495927|50.896105|Tiverton Industrial Estate and Caravan Park x 20 properties, Up Exe significant flood depths|Flooding at Tiverton Industrial Estate|Flooding at Tiverton Industrial Estate|Property Impact|||Flood Resiliance
3245|2.494|mALD|-3.627032|50.779318|Past event: property flooding at Downes Mill of 900mm.|Property flooding Downes Mill|Flooding to property at Downes Mill|Property Impact|2000|October|Flood Resiliance
3345|2.028|mALD|-3.652634|50.818013|Scheme was 10-20cm from overtopping. 2 properties flooded in Brook Street from drainage back-up|Defence at Upper Hellions|Drainage systems overwhelmed|Defence Impact|2012|November|Flood Resiliance
3355|2.027|mALD|-3.435304|50.732523|Past event: Flooding at Clyst Honiton (no properties effected) pub car park and SWW site.|Flooding at Clyst Honiton|Flooding at Clyst Honiton|Location Impact|2008|October|Flood Resiliance
3355|2.175|mALD|-3.45741|50.708701|Past event: Clyst St Mary defences were 300mm from overtopping. No property flooding recorded.|Defence at Clyst St Mary's|Clyst St Mary's flood defences 300mm from overflowing|Defence Impact|2012|November|Flood Resiliance
3240|2.214|mALD|-3.223449|50.70333|Past event: property flooding recorded at Hamilton's Garage.|Property flooding Sidmouth|Flooding to property at Sidmouth|Property Impact|2000|December|Flood Resiliance
3240|2.4|mALD|-3.223561|50.702371|Past event: properties at risk in Packhorse Close, and Sidbury.|Property flooding Packhorse Close|Flooding to properties in Packhorse Close|Property Impact|2012|July|Flood Resiliance
3240|2.413|mALD|-3.223561|50.702371|Past event: flooding recorded at Hamilton's Garage and adjacent property.|Property flooding Sidmouth|Flooding to property at Sidmouth|Property Impact|2012|November|Flood Resiliance
3240|2.5|mALD|-3.22327|50.700528|Past event: property flooding recorded at Sidford, Sidbury and Sidmouth.|Property flooding Sidford|Flooding to properties in Sidford|Property Impact|2012|July|Flood Resiliance
3240|2.5|mALD|-3.220615|50.717729|Past event: property flooding recorded at Sidford, Sidbury and Sidmouth.|Property flooding Sidbury|Flooding to properties in Sidbury|Property Impact|2012|July|Flood Resiliance
3239|2.63|mALD|-3.255375|50.779603|Past event: Property flooding in various locations..|Property flooding Fenny Bridges|Flooding to properties in Fenny Bridges|Property Impact|2012|November|Flood Resiliance
3239|2.72|mALD|-3.289062|50.756758|Past event: property flooding at: Cadhay Bridge Farm, Ottery St Mary,Tipton St John.|Property flooding Cadhay|Flooding to properties in Cadhay Bridge|Property Impact|2000|November|Flood Resiliance
3239|2.72|mALD|-3.289062|50.756758|Past event: property flooding at: Cadhay Bridge Farm, Ottery St Mary,Tipton St John.|Property flooding Ottery St Mary|Flooding to properties in Ottery St Mary|Property Impact|2000|November|Flood Resiliance
3239|2.72|mALD|-3.2904|50.719728|Past event: property flooding at: Cadhay Bridge Farm, Ottery St Mary,Tipton St John.|Property flooding Tipton St John|Flooding to properties in Tipton St John|Property Impact|2000|November|Flood Resiliance
3239|2.78|mALD|-3.255375|50.779603|Past event: Property flooding at various locations.|Property flooding Fenny Bridges|Flooding to properties across the area |Property Impact|2008|October|Flood Resiliance
3237|2.49|mALD|-3.2904|50.719728|Past event: 3-4 properties flooded in Tipton St John.|Property flooding Tipton St John|Flooding to properties in Tipton St John|Property Impact|2000|November|Flood Resiliance
3233|1.598|mALD|-3.223561|50.702371|Past event: property flooding recorded at Hamilton's Garage.|Property flooding Sidmouth|Flooding to property at Sidmouth|Property Impact|2000|December|Flood Resiliance
3233|1.795|mALD|-3.223561|50.702371|Past event: property flooding recorded at Sidford, Sidbury and Sidmouth.|Property flooding Sidford|Flooding to properties in Sidford|Property Impact|2012|July|Flood Resiliance
3233|1.795|mALD|-3.220615|50.717729|Past event: property flooding recorded at Sidford, Sidbury and Sidmouth.|Property flooding Sidbury|Flooding to properties in Sidbury|Property Impact|2012|July|Flood Resiliance
3232|2.04|mALD|-3.112116|50.747149|Past event: Colyvale Caravan Park evacuated. Industrial units d/s of Umbourne Bridge at risk.|Property flooding Umborne Bridge|Caravan park evacuated and industrial properties downstream from Umborne Bridge threatened|Property Impact|2012|July|Flood Resiliance
3232|2.04|mALD|-3.065417|50.735361|Past event: Colyvale Caravan Park evacuated. Industrial units d/s of Umbourne Bridge at risk.|Property flooding Colyvale|Flooding to property at Colyvale|Property Specific|2012|July|Flood Resiliance
3229|3.58|mALD|-3.001895|50.783161|Axminster - flood defences overtopped 12 properties flooded. (67 properties affected from ordinary watercourse)|Defence at Axminster|Axminster flood defences overflowed|Defence Impact|2012|July|Flood Resiliance
3229|3.58|mALD|-3.001895|50.783161|Axminster - flood defences overtopped 12 properties flooded. (67 properties affected from ordinary watercourse)|Property flooding Axminster|Flooding to properties in Axminster|Property Impact|2012|July|Flood Resiliance
3227|3.84|mALD|-2.93536|50.83873|Severe flooding of property at Mostertion, Clapton, Chard Junction, Coaxden, Weycroft and Axminster|Property flooding Chard Junction|Flooding to properties at Chard Junction|Property Impact|2000|December|Flood Resiliance
3227|3.84|mALD|-2.974511|50.80152|Severe flooding of property at Mostertion, Clapton, Chard Junction, Coaxden, Weycroft and Axminster|Property flooding Coaxden|Flooding to properties at Coaxden|Property Impact|2000|December|Flood Resiliance
3227|3.84|mALD|-2.98463|50.795818|Severe flooding of property at Mostertion, Clapton, Chard Junction, Coaxden, Weycroft and Axminster|Property flooding Weycroft|Flooding to properties at Weycroft|Property Impact|2000|December|Flood Resiliance
3350|3|mALD|-3.001895|50.783161|20 flooded properties with flood depths over 1m (Axminster - 67 properties affected from ordinary watercourse)|Property flooding Axminster|Flooding to properties in Axminster with flood depths over 1m reported|Property Impact|2012|July|Flood Resiliance
3216|2.75|mALD|-3.714194|50.460622|Past event: Workshops and Industrial Units flooded at Staverton Bridge.|Property flooding Staverton Bridge|Flooding of workshops and industrial properties at Staverton Bridge|Property Impact|1994|December|Flood Resiliance
